portfolio,fund_name,scheme_code,folio,platform,txn_type,txn_date,units,nav,notes
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,05-10-20,47.6508,10.493,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,06-10-20,10.672,46.85,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,06-10-20,13.698,36.5,
,Franklin Build India Fund - Direct - Growth,,,,BUY,06-10-20,27.147,36.834,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,06-10-20,11.163,44.79,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,06-10-20,22.784,43.8887,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,06-10-20,99.498,10.05,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,06-10-20,58.42,17.1165,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,06-10-20,46.054,21.7125,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,06-10-20,12.601,79.3551,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,08-10-20,12.814,46.82,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,08-10-20,16.478,36.41,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,08-10-20,99.275,10.0725,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,08-10-20,12.491,80.0552,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,09-10-20,14.156,35.32,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,09-10-20,10.699,46.73,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,09-10-20,13.717,36.45,
,Franklin Build India Fund - Direct - Growth,,,,BUY,09-10-20,26.741,37.3942,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,09-10-20,8.773,45.59,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,09-10-20,22.212,45.0193,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,09-10-20,99.171,10.0831,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,09-10-20,56.521,17.6915,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,09-10-20,222.4337815,22.4786,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,09-10-20,332.895,15.019,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,09-10-20,36.67,81.8065,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,12-10-20,47.008,10.636,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,12-10-20,2.829654782,35.34,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,12-10-20,2.134,46.87,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,12-10-20,2.734,36.57,
,Franklin Build India Fund - Direct - Growth,,,,BUY,12-10-20,26.84,37.2554,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,12-10-20,2.202,45.42,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,12-10-20,22.436,44.5692,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,12-10-20,99.861,10.0134,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,12-10-20,56.928,17.5651,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,12-10-20,43.98581897,22.7346,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,12-10-20,36.926,81.2401,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,13-10-20,2.835270768,35.27,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,13-10-20,2.14,46.72,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,13-10-20,2.733,36.59,
,Franklin Build India Fund - Direct - Growth,,,,BUY,13-10-20,26.985,37.0555,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,13-10-20,2.205,45.35,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,13-10-20,22.681,44.0875,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,13-10-20,99.907,10.0088,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,13-10-20,57.467,17.4005,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,13-10-20,43.13393951,23.1836,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,13-10-20,66.602,15.0138,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,13-10-20,12.468,80.2024,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-10-20,2.828,35.36,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,14-10-20,2.138,46.78,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-10-20,2.743,36.45,
,Franklin Build India Fund - Direct - Growth,,,,BUY,14-10-20,26.876,37.2059,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,14-10-20,2.203,45.4,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,14-10-20,22.327,44.7874,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,14-10-20,99.322,10.0678,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,14-10-20,56.626,17.6587,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,14-10-20,43.707,22.8787,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,14-10-20,67.143,14.8929,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,14-10-20,12.256,81.5863,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,16-10-20,2.870264064,34.84,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,16-10-20,2.156,46.38,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,16-10-20,2.754,36.31,
,Franklin Build India Fund - Direct - Growth,,,,BUY,16-10-20,27.023,37.0031,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,16-10-20,2.231,44.82,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,16-10-20,22.697,44.0558,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,16-10-20,100.031,9.9964,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,16-10-20,57.349,17.4361,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,16-10-20,44.92504257,22.2593,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,16-10-20,67.557,14.8015,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,16-10-20,12.448,80.3283,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,19-10-20,47.279,10.575,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,20-10-20,2.836,35.26,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,20-10-20,2.144,46.64,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,20-10-20,2.72,36.76,
,Franklin Build India Fund - Direct - Growth,,,,BUY,20-10-20,26.429,37.8354,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,20-10-20,22.074,45.2997,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,20-10-20,99.683,10.0313,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,20-10-20,55.843,17.9063,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-10-20,45.5,10.9885,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-10-20,11.646,42.9317,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,20-10-20,44.275,22.5849,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,20-10-20,68.128,14.6775,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-10-20,12.122,82.4939,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-10-20,2.846,35.14,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,22-10-20,2.135,46.84,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-10-20,2.705,36.97,
,Franklin Build India Fund - Direct - Growth,,,,BUY,22-10-20,25.938,38.5514,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,22-10-20,2.19,45.67,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,22-10-20,22.07,45.3088,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,22-10-20,99.376,10.0623,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,22-10-20,55.51,18.014,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,22-10-20,21.917,46.5739,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,22-10-20,90.974,10.9916,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,22-10-20,23.236,43.0354,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,22-10-20,44.76,22.3403,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,22-10-20,68.333,14.6334,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-10-20,12.058,82.9266,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,23-10-20,273.743,14.6115,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,26-10-20,47.622,10.499,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-10-20,45.658,10.9505,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,27-10-20,54.931,18.2038,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,27-10-20,12.008,83.2717,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,02-11-20,48.103,10.394,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,09-11-20,45.954,10.88,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,17-11-20,44.809,11.158,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-11-20,42.523,11.758,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-11-20,10.494,47.6423,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,23-11-20,44.387,11.264,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-11-20,41.728,11.9819,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,01-12-20,43.693,11.443,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,07-12-20,43.307,11.545,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,14-12-20,42.602,11.736,
,Franklin Build India Fund - Direct - Growth,,,,SELL,16-12-20,237.41,47.8024,
,Tata Digital India Fund-Direct Plan-Growth,,,,SELL,16-12-20,614.655,23.4339,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,SELL,16-12-20,672.3,103.531,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,SELL,16-12-20,392.07,115.5969,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,SELL,16-12-20,361.258,91.095,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,21-12-20,40.704,12.2833,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,21-12-20,10.184,49.096,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,28-12-20,39.117,12.7815,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-01-21,37.643,13.2822,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-01-21,9.209,54.2905,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,27-01-21,38.827,12.8772,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,28-01-21,8.03,62.2646,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,28-01-21,2.45,40.81,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,28-01-21,1.834,54.53,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,28-01-21,2.356,42.44,
,Franklin Build India Fund - Direct - Growth,,,,BUY,28-01-21,20.149,49.6286,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,28-01-21,1.851,54.03,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,28-01-21,17.636,56.7007,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,28-01-21,83.652,11.9537,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,28-01-21,46.083,21.699,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,28-01-21,38.046,26.2711,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,28-01-21,62.461,16.0093,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,28-01-21,9.731,102.7603,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,28-01-21,4.208,118.812,
,ICICI Prudential Liquid Fund - Direct Plan - Growth,,,,SELL,10-02-21,6.745,303.3667,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,SELL,10-02-21,1335.563,24.8128,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,SELL,10-02-21,516.608,118.1148,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,26-02-21,27.343,36.57,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,26-02-21,7.6,65.7906,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,26-02-21,11.876,42.1,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,26-02-21,15.243,59.04,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,26-02-21,10.874,45.98,
,Franklin Build India Fund - Direct - Growth,,,,BUY,26-02-21,17.973,55.6367,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,26-02-21,8.709,57.41,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,26-02-21,47.878,62.6559,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,26-02-21,78.923,12.67,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,26-02-21,40.79,24.5145,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,26-02-21,8.621,115.9962,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,22-03-21,27.955,35.77,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,22-03-21,49.638,60.4341,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,22-03-21,79.113,12.6395,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,22-03-21,41.704,23.9774,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,22-03-21,70.329,28.4362,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-03-21,8.847,113.0229,
,Franklin Build India Fund - Direct - Growth,,,,SELL,23-03-21,239.943,55.7572,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,SELL,24-03-21,16.424,111.72,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,05-04-21,57.485,34.79,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,05-04-21,30.25,66.1132,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,05-04-21,47.079,42.48,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,05-04-21,33.443,59.8,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,05-04-21,41.813,47.83,
,Franklin Build India Fund - Direct - Growth,,,,BUY,05-04-21,36.91,54.1833,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,05-04-21,34.927,57.26,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,05-04-21,33.939,58.9261,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,05-04-21,158.134,12.6469,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,05-04-21,85.561,23.374,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,05-04-21,68.68,29.119,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,05-04-21,123.453,16.1997,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,05-04-21,18.166,110.0905,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,05-04-21,15.894,125.825,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,13-04-21,58.873,33.97,
,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,13-04-21,15.244,65.5948,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,13-04-21,2.374,42.13,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,13-04-21,1.687,59.27,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,13-04-21,2.071,48.29,
,Franklin Build India Fund - Direct - Growth,,,,BUY,13-04-21,37.291,53.6295,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,13-04-21,1.77,56.5,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,13-04-21,52.165,57.507,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,13-04-21,239.503,12.5253,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,13-04-21,174.658,22.9008,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,13-04-21,104.398,28.7347,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,13-04-21,59.876,16.7004,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,13-04-21,46.244,108.1168,
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,13-04-21,16.027,124.7795,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,15-04-21,2.36,42.38,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,15-04-21,1.682,59.47,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,15-04-21,2.077,48.14,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,15-04-21,1.76,56.81,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,16-04-21,2.354,42.48,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,16-04-21,1.66,60.24,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,16-04-21,2.066,48.41,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,16-04-21,1.754,57,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,19-04-21,29.831,33.52,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,19-04-21,2.393,41.78,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,19-04-21,1.678,59.6,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,19-04-21,2.087,47.92,
,Franklin Build India Fund - Direct - Growth,,,,BUY,19-04-21,19.094,52.3698,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,19-04-21,1.783,56.07,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,19-04-21,17.678,56.564,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,19-04-21,79.769,12.5355,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,19-04-21,44.185,22.6309,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,19-04-21,34.671,28.8414,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,19-04-21,9.4,106.3801,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,20-04-21,2.404,41.6,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,20-04-21,1.678,59.59,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,20-04-21,2.085,47.96,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,20-04-21,1.791,55.85,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,22-04-21,29.162,34.29,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-04-21,4.78,41.84,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,22-04-21,3.356,59.61,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-04-21,4.148,48.22,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,22-04-21,3.554,56.29,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,22-04-21,43.306,23.0902,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,22-04-21,9.215,108.5116,
,LIC MF Liquid Fund-Direct Plan-Growth,,,,BUY,27-04-21,13.348,3745.6474,
,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,,,,BUY,28-04-21,14.798,3378.6215,
,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,,,,BUY,29-04-21,2176.426,22.9723,
,Axis Midcap Fund - Direct Plan - Growth,,,,SELL,29-04-21,157.251,61.47,
,Axis Small Cap Fund - Direct Plan - Growth,,,,SELL,29-04-21,209.485,50.27,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,SELL,29-04-21,895.534,12.801,
,Tata Digital India Fund-Direct Plan-Growth,,,,SELL,29-04-21,691.799,28.9672,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,SELL,29-04-21,282.97,99.3985,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,30-04-21,2.341,42.71,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,30-04-21,1.638,61.05,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,30-04-21,1.99,50.25,
,HDFC Ultra Short Term Fund - Direct Plan-Growth Option,,,,BUY,30-04-21,4171.534,11.9854,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,30-04-21,1.737,57.58,
,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,,,,BUY,03-05-21,2175.242,22.9848,
,LIC MF Liquid Fund-Direct Plan-Growth,,,,BUY,03-05-21,13.341,3747.5417,
,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,,,,BUY,03-05-21,11.834,3380.024,
,HDFC Ultra Short Term Fund - Direct Plan-Growth Option,,,,BUY,10-05-21,4167.396,11.9973,
,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,,,,BUY,10-05-21,2.957,3381.9516,
,Axis Large Cap Fund - Direct Plan - Growth,,,,SELL,10-05-21,203.888,43.6,
,Axis Midcap Fund - Direct Plan - Growth,,,,SELL,10-05-21,13.079,61.62,
,Axis Small Cap Fund - Direct Plan - Growth,,,,SELL,10-05-21,17.825,51.61,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,SELL,10-05-21,46.819,59.08,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,SELL,10-05-21,141.498,62.2727,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,SELL,10-05-21,118.262,13.2863,
,Tata Digital India Fund-Direct Plan-Growth,,,,SELL,10-05-21,71.498,29.2228,
,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,BUY,11-05-21,18.916,2114.545,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,11-05-21,2.312,43.25,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,11-05-21,1.612,62.02,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,11-05-21,1.929,51.83,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,11-05-21,1.696,58.96,
,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,BUY,14-05-21,14.189,2114.2248,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-05-21,2.344,42.66,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,14-05-21,1.637,61.09,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-05-21,1.949,51.3,
,HDFC Ultra Short Term Fund - Direct Plan-Growth Option,,,,BUY,14-05-21,2082.899,12.0019,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,14-05-21,1.72,58.13,
,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,,,,BUY,14-05-21,1086.335,23.012,
,LIC MF Liquid Fund-Direct Plan-Growth,,,,BUY,14-05-21,6.664,3751.0532,
,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,,,,BUY,14-05-21,7.389,3383.1224,
,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,BUY,17-05-21,9.459,2114.3922,
,Axis Small Cap Fund - Direct Plan - Growth,,,,SELL,17-05-21,72.623,52.33,
,Franklin Build India Fund - Direct - Growth,,,,SELL,17-05-21,160.137,57.1884,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,SELL,17-05-21,57.364,63.2986,
,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,BUY,20-05-21,4.727,2115.6222,
,HDFC Ultra Short Term Fund - Direct Plan-Growth Option,,,,BUY,20-05-21,832.667,12.009,
,ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,,,,BUY,20-05-21,434.162,23.0317,
,LIC MF Liquid Fund-Direct Plan-Growth,,,,BUY,20-05-21,2.664,3753.1126,
,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,,,,BUY,20-05-21,2.954,3384.9231,
,Axis Midcap Fund - Direct Plan - Growth,,,,SELL,21-05-21,6.688,63.27,
,Axis Small Cap Fund - Direct Plan - Growth,,,,SELL,21-05-21,22.388,53.52,
